0.000257  	 0.024852  	 0.000972  	 0.000095  	 15.151985 	
0.000626  	 0.034869  	 0.002454  	 0.000358  	 12.396000 	
0.000994  	 0.038569  	 0.003715  	 0.000597  	 9.673700 	
0.001362  	 0.041164  	 0.004973  	 0.000846  	 8.171100 	
0.001730  	 0.042391  	 0.006149  	 0.001091  	 6.955000 	
0.002099  	 0.042843  	 0.007271  	 0.001336  	 5.993994 	
0.002467  	 0.044926  	 0.008769  	 0.001663  	 5.760300 	
0.002835  	 0.044343  	 0.009837  	 0.001921  	 5.039300 	
0.003203  	 0.044017  	 0.011008  	 0.002209  	 4.558800 	
0.003572  	 0.043050  	 0.012065  	 0.002486  	 4.081000 	
0.003940  	 0.041851  	 0.013092  	 0.002766  	 3.672700 	
0.004308  	 0.041107  	 0.014315  	 0.003099  	 3.429700 	
0.004676  	 0.039278  	 0.015205  	 0.003371  	 3.080000 	
0.005045  	 0.036346  	 0.015637  	 0.003547  	 2.636697 	
0.005413  	 0.034035  	 0.016284  	 0.003779  	 2.350398 	
0.005781  	 0.032667  	 0.017413  	 0.004132  	 2.240800 	
0.006149  	 0.031260  	 0.018618  	 0.004516  	 2.164800 	
0.006518  	 0.029329  	 0.019597  	 0.004858  	 2.053300 	
0.006886  	 0.026835  	 0.020227  	 0.005123  	 1.896500 	
0.007254  	 0.024071  	 0.020619  	 0.005334  	 1.729502 	
0.007622  	 0.021496  	 0.021126  	 0.005582  	 1.612800 	
0.007991  	 0.019025  	 0.021725  	 0.005861  	 1.532798 	
0.008359  	 0.016311  	 0.022010  	 0.006063  	 1.430400 	
0.008727  	 0.013498  	 0.022030  	 0.006195  	 1.317399 	
0.009095  	 0.010905  	 0.022262  	 0.006390  	 1.250100 	
0.009464  	 0.008452  	 0.022729  	 0.006659  	 1.223399 	
0.009832  	 0.005953  	 0.023055  	 0.006893  	 1.193300 	
0.010200  	 0.003442  	 0.023187  	 0.007075  	 1.154800 	
0.010568  	 0.000981  	 0.023330  	 0.007264  	 1.128000 	
0.010937  	 -0.001440  	 0.023498  	 0.007466  	 1.112799 	
0.011305  	 -0.003819  	 0.023580  	 0.007644  	 1.097400 	
0.011673  	 -0.006172  	 0.023717  	 0.007845  	 1.094300 	
0.012041  	 -0.008629  	 0.024211  	 0.008172  	 1.130501 	
0.012410  	 -0.011162  	 0.024765  	 0.008529  	 1.178600 	
0.012778  	 -0.013316  	 0.024507  	 0.008611  	 1.155300 	
0.013146  	 -0.015019  	 0.023666  	 0.008485  	 1.082800 	
0.013514  	 -0.017184  	 0.023713  	 0.008675  	 1.096400 	
0.013883  	 -0.020095  	 0.024698  	 0.009219  	 1.203100 	
