0.000368  	 0.029709  	 0.001465  	 0.000231  	 15.200000 	
0.001103  	 0.037313  	 0.003653  	 0.000626  	 8.170000 	
0.001838  	 0.043775  	 0.006165  	 0.001141  	 6.960000 	
0.002573  	 0.046126  	 0.008530  	 0.001673  	 5.760000 	
0.003308  	 0.045232  	 0.010523  	 0.002177  	 4.560000 	
0.004778  	 0.041009  	 0.014239  	 0.003256  	 3.080000 	
0.006248  	 0.033872  	 0.017378  	 0.004361  	 2.160000 	
0.006983  	 0.030152  	 0.018965  	 0.004975  	 1.900000 	
0.007718  	 0.025262  	 0.019917  	 0.005471  	 1.610000 	
0.009188  	 0.015276  	 0.021500  	 0.006449  	 1.250000 	
0.010658  	 0.005498  	 0.023105  	 0.007554  	 1.130000 	
0.011393  	 0.000539  	 0.023597  	 0.008051  	 1.100000 	
0.011760  	 -0.002030  	 0.023755  	 0.008288  	 1.090000 	
0.015068  	 -0.024749  	 0.024981  	 0.010597  	 1.270000 	
0.018743  	 -0.046835  	 0.024335  	 0.012919  	 1.610000 	
0.022418  	 -0.066670  	 0.022174  	 0.014939  	 1.970000 	
0.026093  	 -0.088220  	 0.020192  	 0.017679  	 2.540000 	
0.029768  	 -0.111227  	 0.017706  	 0.020903  	 3.260000 	
0.033444  	 -0.131577  	 0.014132  	 0.023835  	 3.880000 	
0.036751  	 -0.149112  	 0.010407  	 0.026523  	 4.430000 	
0.055127  	 -0.248407  	 0.016425  	 0.044901  	 8.130000 	
0.073502  	 -0.317555  	 0.047429  	 0.062909  	 10.600000 	
0.110254  	 -0.464501  	 0.118780  	 0.115166  	 17.600000 	
0.124954  	 -0.477507  	 0.148532  	 0.156094  	 20.000000 	
0.147005  	 -0.586660  	 0.190846  	 0.181829  	 24.700000 	
0.183756  	 -0.683622  	 0.256311  	 0.260795  	 31.600000 	
0.221242  	 -0.710719  	 0.294282  	 0.394194  	 40.200000 	
0.245130  	 -0.726497  	 0.317608  	 0.451428  	 43.200000 	
0.275634  	 -0.887641  	 0.405776  	 0.515845  	 52.100000 	
0.294010  	 -0.828690  	 0.385951  	 0.603393  	 55.100000 	
0.319735  	 -0.888612  	 0.422391  	 0.691470  	 61.700000 	
0.367512  	 -0.971188  	 0.486088  	 0.842996  	 70.500000 	
0.404263  	 -1.071051  	 0.549628  	 0.994046  	 79.300000 	
0.441014  	 -1.148887  	 0.606033  	 1.126487  	 83.800000 	
0.477766  	 -1.229757  	 0.659616  	 1.232265  	 85.000000 	
0.514517  	 -1.315177  	 0.707523  	 1.348555  	 85.000000 	
0.551268  	 -1.400623  	 0.751082  	 1.461070  	 83.300000 	
0.588019  	 -1.496930  	 0.798311  	 nan  	 nan 	
0.624770  	 -1.550353  	 0.836948  	 nan  	 nan 	
0.661521  	 -1.501611  	 0.867175  	 1.457218  	 72.900000 	
