0.136	-0.0583	    0.0022	    0.0006	    2.14342
0.544	-0.1374	    0.0026	    0.0023	    2.95419
1.224	-0.2289	    -0.0057	    0.0054	    3.61141
2.176	-0.3285	    -0.0259	    0.0105	    4.18810
3.4	    -0.433	    -0.0579	    0.0186	    4.72083
4.896	-0.5404	    -0.0999	    0.0306	    5.22219
6.664	-0.649	    -0.1491	    0.0474	    5.67682
8.704	-0.7573	    -0.203	    0.0694	    6.06619
11.016	-0.8643	    -0.2594	    0.0966	    6.37987
13.6	-0.9692	    -0.3168	    0.1284	    6.61505
