0.0857 0.185297 0.027220 0.006080 0.001986
0.1000 0.178539 0.033658 0.008364 0.002706
0.1212 0.157965 0.042129 0.012534 0.003979
0.1485 0.118500 0.049689 0.019484 0.005986
0.1715 0.077374 0.052006 0.026993 0.008001
0.1917 0.037035 0.051081 0.035103 0.010021
0.2000 0.019592 0.049426 0.038914 0.010919
0.2100 -0.001990 0.046592 0.043920 0.012056
0.2269 -0.039654 0.039691 0.053530 0.014113
0.2424 -0.075279 0.031576 0.063792 0.016154
0.2573 -0.110306 0.021918 0.077041 0.018258
0.2711 -0.143300 0.011437 0.089484 0.020335
0.2844 -0.175510 0.000013 0.100653 0.022456
0.2970 -0.206328 -0.011939 0.114472 0.024579
0.3000 -0.213703 -0.014939 0.118073 0.025028
0.3092 -0.236399 -0.024494 0.129757 0.026946
0.3209 -0.265411 -0.037385 0.146112 0.029095
0.3321 -0.293311 -0.050455 0.163486 0.031183
0.3834 -0.422066 -0.118158 0.269198 0.042419
0.4000 -0.463871 -0.142371 0.314403 0.046590
0.4496 -0.588563 -0.219718 0.487670 0.060754
0.5000 -0.714249 -0.303868 0.718953 0.078152
0.6000 -0.958263 -0.479352 1.191012 0.124073
0.6063 -0.973342 -0.490583 1.214867 0.127574
0.7000 -1.192895 -0.657650 1.459022 0.190282
0.7301 -1.261452 -0.710914 1.501278 0.215271
0.8000 -1.416805 -0.833031 1.556015 0.284333
0.8573 -1.540091 -0.931079 1.570299 0.354650
0.9000 -1.629588 -1.002772 1.569236 0.416917
1.0000 -1.831385 -1.165775 1.542100 0.605298
1.1000 -2.022650 -1.321763 1.494942 0.874943
1.2000 -2.203995 -1.470859 1.437136 1.254148
1.2124 -2.225824 -1.488882 1.429488 1.308592
1.3000 -2.376103 -1.613385 1.373612 1.714818
1.3555 -2.467893 -1.689787 1.337097 1.965187
1.4000 -2.539667 -1.749712 1.307403 2.146413
1.4849 -2.672328 -1.860881 1.250024 2.428866
1.5000 -2.695357 -1.880234 1.239763 2.470738
1.6000 -2.843802 -2.005344 1.171871 2.698862
1.7000 -2.985586 -2.125399 1.104363 2.862842
1.8000 -3.121241 -2.240748 1.037387 2.983597
1.9000 -3.251254 -2.351715 0.971500 3.077449
1.9174 -3.273333 -2.370598 0.960158 3.091514
2.0000 -3.376064 -2.458594 0.906664 3.150386
