0.1 0.2181 0.0277 0.0061 0.0020
0.2 0.1938 0.0431 0.0125 0.0040
0.3 0.1554 0.0511 0.0193 0.0060
0.5 0.0757 0.0527 0.0341 0.0101
0.6 0.0354 0.0486 0.0421 0.0122
0.7 -0.0021 0.0422 0.0507 0.0142
0.8 -0.0383 0.0341 0.0598 0.0163
0.9 -0.0730 0.0247 0.0694 0.0184
1.0 -0.1064 0.0141 0.0796 0.0205
1.5 -0.2573 -0.0483 0.1391 0.0313
2.0 -0.3872 -0.1173 0.2134 0.0425
2.5 -0.5021 -0.1870 0.3017 0.0543
3.0 -0.6056 -0.2552 0.4015 0.0667
3.5 -0.7000 -0.3210 0.5082 0.0797
4.0 -0.7871 -0.3840 0.6165 0.0933
4.5 -0.8679 -0.4443 0.7207 0.1074
5.0 -0.9434 -0.5020 0.8167 0.1221
5.5 -1.0143 -0.5571 0.9019 0.1373
6.0 -1.0813 -0.6098 0.9755 0.1530
6.5 -1.1446 -0.6604 1.0378 0.1691
7.0 -1.2048 -0.7089 1.0898 0.1857
7.5 -1.2621 -0.7554 1.1329 0.2027
8.0 -1.3168 -0.8002 1.1683 0.2202
9.5 -1.4670 -0.9249 1.2394 0.2750
10.0 -1.5135 -0.9637 1.2545 0.2941
11.0 1.5402 -1.0373 1.2755 0.3338
12.0 1.4584 -1.1064 1.2873 0.3757
13.0 1.3818 -1.1705 1.2924 0.4202
14.0 1.3097 -1.2319 1.2927 0.4678
15.0 1.2416 -1.2900 1.2893 0.5191
16.0 1.1772 -1.3451 1.2831 0.5748
17.0 1.1160 -1.3983 1.2747 0.6354
18.0 1.0576 -1.4482 1.2647 0.7018
19.0 1.0019 -1.4957 1.2597 0.7746
20.0 0.9486 -1.5413 1.2413 0.8543
