20.029 3.09    0.08
19.029 3.17    0.08
18.029 3.28    0.08
17.029 3.37    0.08
16.029 3.46    0.08
15.029 3.62    0.08
14.029 3.74    0.08
13.029 3.86    0.08
12.029 4.02    0.08
11.029 4.17    0.08
10.029 4.40    0.08
9.029 4.55    0.08
8.029 4.74    0.08
7.029 4.90    0.08
6.029 5.13    0.08
5.029 5.38    0.08
4.029 5.58    0.08
3.029 5.84    0.08
2.429 6.00    0.08
2.029 6.04    0.08
1.829 6.13    0.08
1.629 6.13    0.08
1.429 6.14    0.08
1.229 6.17    0.08
1.029 6.14    0.07
0.909 6.11    0.07
0.809 6.10    0.07
0.709 6.06    0.07
0.609 6.05    0.07
0.509 6.03    0.07
0.409 5.98    0.07
0.309 5.98    0.07
0.269 5.93    0.07
0.229 5.94    0.14
0.181 5.90    0.14
0.169 5.85    0.14
0.149 5.86    0.14
0.129 5.78    0.14
0.109 5.71    0.14
0.089 5.77    0.14
0.069 5.68    0.14
0.061 5.68    0.15
0.054 5.69    0.16
0.046 5.70    0.16
0.042 5.59    0.16
0.038 5.63    0.16
0.034 5.56    0.16
0.030 5.48    0.16
0.026 5.54    0.16
0.022 5.43    0.17
0.020 5.41    0.17
0.018 5.25    0.17
0.016 5.16    0.17
0.014 5.17    0.17
0.012 5.31    0.17
0.010 5.22    0.17
0.008 5.16    0.17
0.006 5.26    0.17
