0.0050  -0.1286 0.0031  0.0008  20.6679
0.0200  -0.2560 0.0126  0.0018  20.1429
0.0450  -0.4043 0.0295  0.0037  21.6064
0.0800  -0.5398 0.0535  0.0065  20.7472
0.1250  -0.6699 0.0839  0.0101  19.3792
0.1800  -0.7932 0.1187  0.0146  17.7272
0.2450  -0.9088 0.1556  0.0200  15.9592
0.3200  -1.0162 0.1921  0.0263  14.1974
0.4050  -1.1151 0.2266  0.0333  12.5223
0.5000  -1.2055 0.2577  0.0411  10.9835
0.6050  -1.2863 0.2852  0.0497  9.59770


