0.58	0.0213156927600147	2.8721	0.0138	0.0017	21.0672951657392
1.23	0.0452039691289967	2.7428	0.0308	0.0036	21.3625322237294
1.51	0.0554943035648659	2.6988	0.0381	0.0044	21.2893085342764
2.75	0.101065784638001	2.5446	0.0712	0.008	20.6106035418703
3.4	    0.124954061006983	2.4801	0.0879	0.01	20.1627765091416
4.44	0.163175303197354	2.3914	0.1135	0.013	19.4126481518577
5.02	0.184490995957369	2.3479	0.12727	0.0148	18.9942051966136
6.1	    0.224182285924292	2.2756	0.1509	0.018	18.2081346086645
7.01	0.257625872840867	2.2214	0.16935	0.0208	17.5733306047964
10	    0.367511944138184	2.0754	0.22056	0.0298	15.6312624983512
14	    0.514516721793458	1.9310	0.27011	0.0418	13.4098733376426
19	    0.698272693862551	1.8228	0.31384	0.057	10.8690012200984
