0.58	0.0213156927600147	2.868	0.015	0.0014	21.7210336980032
1.23	0.0452039691289967	2.745	0.035	0.0031	21.2569836380403
1.51	0.0554943035648659	2.702	0.043	0.0038	21.1415584540794
2.75	0.101065784638001	2.534	0.077	0.0068	21.3800957853876
3.4	0.124954061006983	2.464	0.093	0.0087	21.0829825321808
4.44	0.163175303197354	2.37	0.116	0.0118	20.295587018964
5.02	0.184490995957369	2.322	0.129	0.0136	19.9143835711841
6.1	0.224182285924292	2.242	0.152	0.0172	19.1555061277632
7.01	0.257625872840867	2.181	0.168	0.0198	18.4737771014337
10	0.367511944138184	2.036	0.216	0.0302	16.0898517405882
14	0.514516721793458	1.908	0.267	0.0444	13.5456140792122
19	0.698272693862551	1.8	0.311	0.058	11.2127071251994

